nome_original,nome_pt,dimensao,exemplo_valor
cur_of_hpa_fan_mtr_a_a,corr_ar_alta_press_vent_motor_a,A,36.25
cur_of_hpa_fan_mtr_b_a,corr_ar_alta_press_vent_motor_b_a,A,36.216
cur_of_hpa_fan_mtr_c_a,corr_ar_alta_press_vent_motor_c_a,A,0.07
cur_of_induced_draft_fan_mtr_a_a,corr_induced_draft_vent_motor_a,A,174.271
cur_of_induced_draft_fan_mtr_b_a,corr_induced_draft_vent_motor_b_a,A,159.317
cur_of_primary_air_fan_mtr_a_a,corr_primary_air_vent_motor_a,A,139.124
cur_of_primary_air_fan_mtr_b_a,corr_primary_air_vent_motor_b_a,A,140.222
cur_of_secondary_air_fan_mtr_a_a,corr_secondary_air_vent_motor_a,A,15.54
cur_of_secondary_air_fan_mtr_b_a,corr_secondary_air_vent_motor_b_a,A,16.821
dev_of_current_a,dev_corrente_a,A,14.725
id_fan_a_move_impeller_pos_fdb_,vent_tiragem_vent_a_move_impeller_pos_fb,A,28.024
idf_a_volumetric_flow_rate_cal_m3_s,vent_tiragem_a_volumetric_vazao_rate_cal,A,208.64
side_a_drum_level_sel_mm,lado_a_nivel_tambor,A,23.83
deaerator_pressure_mpa,desaerador_pressao,MPa,0.248
deaerator_upstream_pressure_mpa,desaerador_upstream_pressao,MPa,0.286
drum_pres_sel_mpa,pressao_tambor,MPa,9.83
fsh_outl_hdr_pres_mpa_mi,fsh_saida_coletor_pres_mpa,MPa,0.053
hot_reheat_steam_pressure_mpa,pressao_vapor_reaquec,MPa,2.008
main_steam_pressure_mpa,pressao_vapor_principal,MPa,8.905
prs_of_condensate_pump_a_outl_mpa,pressao_condensado_bomba_a_saida,MPa,3.25
prs_of_condensate_pump_b_outl_mpa,pressao_condensado_bomba_b_saida,MPa,-0.037
unit_actual_mw,unit_actual,MW,170.419
furnace_pres_pa,pressao_fornalha,Pa,-157.573
pa_fan_a_fq_speed_feedback_rpm,ar_prim_vent_a_fq_speed_feedback,Pa,1339.402
pa_fan_b_fq_speed_feedback_rpm,ar_prim_vent_b_fq_speed_feedback,Pa,1330.394
pressure_1_of_furnace_a_upper_pa,pressao_1_fornalha_a_sup,Pa,-161.189
pressure_1_of_furnace_b_upper_pa,pressao_1_fornalha_b_sup,Pa,-150.843
pressure_of_furnace_a_medium_pa,pressao_fornalha_a_medio,Pa,164.357
pressure_of_furnace_b_medium_pa,pressao_fornalha_b_medio,Pa,194.523
1_lms_pdr_bin_continous_lvl_m,1_lms_pdr_bin_continous_lvl_m,adimensional/nd,3.517
2_lms_pdr_bin_continous_lvl_m,2_lms_pdr_bin_continous_lvl_m,adimensional/nd,4.019
aph_main_motor_phase_u_current_nan,preaq_ar_main_motor_phase_u_corrente_nan,adimensional/nd,15.371
aph_main_motor_phase_w_current_nan,preaq_ar_main_motor_phase_w_corrente_nan,adimensional/nd,15.805
burner_perc_do_ar_total_,burner_perc_do_ar_total,adimensional/nd,3.8911
coal_perc_do_ar_total_,carvao_perc_do_ar_total,adimensional/nd,7.0216
deaerator_water_level_mm,desaerador_agua_nivel,adimensional/nd,796.087
drum_level_sel_mm,nivel_tambor,adimensional/nd,8.874
dust_concentrat_raw_flue_gas_mg_m3,poeira_concentrat_raw_flue_gas_mg_m3,adimensional/nd,15.81
id_fan_b_move_impeller_pos_fdb_,vent_tiragem_vent_b_move_impeller_pos_fb,adimensional/nd,29.314
lower_perc_do_ar_total_,inf_perc_do_ar_total,adimensional/nd,5.287
media_horaria_so2_apos_fgd_mg_nm3,media_horaria_so2_apos_fgd_mg_nm3,adimensional/nd,3475.363
o2_avg_,o2_medio,adimensional/nd,3.541
porcentagem_de_ar_primario_,porcentagem_de_ar_primario,adimensional/nd,61.91
side_b_drum_level_sel_mm,lado_b_nivel_tambor,adimensional/nd,-6.448
so2_con_clean_flue_gas_rectifi_mg_m3,so2_con_clean_flue_gas_rectifi_mg_m3,adimensional/nd,2443.009
so2_con_raw_flue_gas_rectified_mg_nm3,so2_con_raw_flue_gas_rectified_mg_nm3,adimensional/nd,715.631
so2_concentration_raw_flue_gas_mg_m3,so2_concentration_raw_flue_gas_mg_m3,adimensional/nd,17.731
status_operacao,status_operacao,adimensional/nd,1.0
total_air_flow_knm3_h,vazao_ar_total_knm3_h,adimensional/nd,634.68
total_paf_air_flow_knm3_h,vazao_ar_prim_total_knm3_h,adimensional/nd,432.125
differential_prs_of_furnace_a_kpa,differential_pressao_fornalha_a,kPa,0.812
differential_prs_of_furnace_b_kpa,differential_pressao_fornalha_b,kPa,0.625
esp_comb_with_ff_a_inl_prs_1_kpa,esp_comb_ff_a_entrada_pressao_1,kPa,-2.574
esp_comb_with_ff_a_inl_prs_2_kpa,esp_comb_ff_a_entrada_pressao_2,kPa,-2.544
esp_comb_with_ff_b_inl_prs_1_kpa,esp_comb_ff_b_entrada_pressao_1,kPa,-1.864
esp_comb_with_ff_b_inl_prs_2_kpa,esp_comb_ff_b_entrada_pressao_2,kPa,-2.496
esp_comb_with_ff_b_outl_prs_kpa,esp_comb_ff_b_saida_pressao,kPa,-3.313
id_fan_a_outlet_pressure_kpa,vent_tiragem_vent_a_saida_pressao,kPa,-0.088
id_fan_b_outlet_pressure_kpa,vent_tiragem_vent_b_saida_pressao,kPa,-0.095
lms_pdr_bin_flud_blwr_ol_prs_kpa,lms_pdr_bin_flud_blwr_pressao,kPa,52.614
press_2_3_of_furnace_b_bed_kpa,pressao_2_3_fornalha_b_leito,kPa,4.434
pressure_1_of_furnace_a_bed_kpa,pressao_1_fornalha_a_leito,kPa,2.466
pressure_1_of_furnace_b_bed_kpa,pressao_1_fornalha_b_leito,kPa,0.899
pressure_3_of_furnace_bed_kpa,pressao_3_fornalha_leito,kPa,4.449
pressure_of_furnace_a_lower_kpa,pressao_fornalha_a_inf,kPa,1.4
pressure_of_furnace_b_lower_kpa,pressao_fornalha_b_inf,kPa,1.372
pressure_of_sa_fan_a_outlet_kpa,pressao_ar_sec_vent_a_saida,kPa,4.313
pressure_of_sa_fan_b_outlet_kpa,pressao_ar_sec_vent_b_saida,kPa,4.457
prs_air_in_stm_aph_paf_a_outl_kpa,pressao_air_in_stm_preaq_ar_paf_a_saida,kPa,14.731
