timestamp,leito_temp_average,esp_comb_ff_b_saida_temp,fornalha_leito_temp_10_12,fornalha_leito_temp_13_15,fornalha_leito_temp_16_18,fornalha_leito_temp_1_3,fornalha_leito_temp_4_6,fornalha_leito_temp_7_9,temp_vapor_reaquec_1,lms_pdr_bin_flud_air_htr_temp,miain_vapor_temp,t_bfbp_b_entrada_temp,temp_no_6_hp_heater_feed_wtr,temp_no_7_hp_heater_feed_wtr,temp_no_8_hp_heater_feed_wtr,temp_gas_in_econ_lado_a_saida,temp_gas_in_econ_lado_b_saida,temp_hot_pri_air_in_preaq_ar_saida,temp_ar_flu_ap_vent_saida_head_pipe,temp_1_fornalha_a_inner,temp_1_fornalha_b_inner,temp_3_fornalha_a_inner,temp_3_fornalha_b_inner,temp_3_lph_saida_wtr,temp_4_lph_saida_wtr,temp_cnd_bomba_saida_header,temp_cnd_agua_desaerador_entrada,temp_fornalha_a_saida,temp_fornalha_b_saida,temp_gas_in_preaq_ar_saida,temp_gas_in_ltr_lado_a_entrada,temp_gas_in_ltr_lado_a_saida,temp_gas_in_ltr_lado_b_entrada,temp_gas_in_ltr_lado_b_saida,temp_ar_flu_ap_vent_a_saida,temp_ar_flu_ap_vent_b_saida,temp_ar_flu_ap_vent_c_saida,temp_cyclone_a_entrada,temp_cyclone_b_entrada,temp_cyclone_c_entrada,differential_pressao_fornalha_a,differential_pressao_fornalha_b,esp_comb_ff_a_entrada_pressao_1,esp_comb_ff_a_entrada_pressao_2,esp_comb_ff_b_entrada_pressao_1,esp_comb_ff_b_entrada_pressao_2,esp_comb_ff_b_saida_pressao,vent_tiragem_vent_a_saida_pressao,vent_tiragem_vent_b_saida_pressao,lms_pdr_bin_flud_blwr_pressao,pressao_2_3_fornalha_b_leito,pressao_1_fornalha_a_leito,pressao_1_fornalha_b_leito,pressao_3_fornalha_leito,pressao_fornalha_a_inf,pressao_fornalha_b_inf,pressao_ar_sec_vent_a_saida,pressao_ar_sec_vent_b_saida,pressao_air_in_stm_preaq_ar_paf_a_saida,pressao_air_in_stm_preaq_ar_paf_b_saida,pressao_hot_pri_air_in_preaq_ar_saida,pressao_hot_ar_sec_saf_a_in_preaq_ar_sai,pressao_condensado_bomba_a_entrada,pressao_condensado_bomba_b_entrada,pressao_gas_in_preaq_ar_saida,pressao_gas_in_econ_lado_b_saida,pressao_gas_in_ltr_lado_a_entrada,pressao_gas_in_ltr_lado_a_saida,pressao_gas_in_ltr_lado_b_entrada,pressao_gas_in_ltr_lado_b_saida,pressao_ar_flu_ap_vent_a_saida_head,pressao_ar_flu_ap_vent_b_saida_head,pressao_ar_flu_ap_vent_c_saida_head,pressao_ar_flu_ap_vent_saida_head_pipe,u_valve_a_entrada_static_pressao,u_valve_b_entrada_static_pressao,u_valve_c_entrada_static_pressao,vacuum_pres_from_tcs,vazao_agua_alimentacao,vazao_cnd_agua_before_desaerador,vazao_output_belt_carvao_fdr_a1,vazao_output_belt_carvao_fdr_a2,vazao_output_belt_carvao_fdr_b1,vazao_output_belt_carvao_fdr_b2,vazao_output_belt_carvao_fdr_b3,vazao_output_belt_carvao_fdr_b4,vazao_output_belt_carvao_fdr_c1,vazao_output_belt_carvao_fdr_c2,vazao_total_a,vazao_total_b,vazao_total_c,vazao_vapor_principal,total_fuel_vazao,corr_ar_alta_press_vent_motor_a,corr_ar_alta_press_vent_motor_b_a,corr_ar_alta_press_vent_motor_c_a,corr_induced_draft_vent_motor_a,corr_induced_draft_vent_motor_b_a,corr_primary_air_vent_motor_a,corr_primary_air_vent_motor_b_a,corr_secondary_air_vent_motor_a,corr_secondary_air_vent_motor_b_a,dev_corrente_a,desaerador_pressao,desaerador_upstream_pressao,pressao_tambor,pressao_vapor_reaquec,pressao_vapor_principal,pressao_condensado_bomba_a_saida,pressao_condensado_bomba_b_saida,preaq_ar_main_motor_phase_u_corrente_nan,preaq_ar_main_motor_phase_w_corrente_nan,vent_tiragem_vent_a_move_impeller_pos_fb,vent_tiragem_vent_b_move_impeller_pos_fb,porcentagem_de_ar_primario,pressao_fornalha,pressao_1_fornalha_a_sup,pressao_1_fornalha_b_sup,pressao_fornalha_a_medio,pressao_fornalha_b_medio,burner_perc_do_ar_total,carvao_perc_do_ar_total,inf_perc_do_ar_total,o2_medio,desaerador_agua_nivel,nivel_tambor,lado_a_nivel_tambor,lado_b_nivel_tambor,ar_prim_vent_a_fq_speed_feedback,ar_prim_vent_b_fq_speed_feedback,ar_sec_vent_a_fq_speed_feedback,ar_sec_vent_b_fq_speed_feedback,poeira_concentrat_raw_flue_gas_mg_m3,so2_con_clean_flue_gas_rectifi_mg_m3,so2_concentration_raw_flue_gas_mg_m3,fsh_saida_coletor_temp_adegc_min,hi_temp_rh_temp_adegc_min,vazao_ar_total_knm3_h,vazao_ar_prim_total_knm3_h,1_lms_pdr_bin_continous_lvl_m,2_lms_pdr_bin_continous_lvl_m,vent_tiragem_a_volumetric_vazao_rate_cal,vent_tiragem_b_volumetric_vazao_rate_cal,fsh_saida_coletor_pres_mpa,hi_temperture_reheol_pres_mpa,media_horaria_so2_apos_fgd_mg_nm3,so2_con_raw_flue_gas_rectified_mg_nm3,unit_actual,status_operacao,tau_densa,tau_diluida,tau_backpass,tau_global,coal_flow_furnace_t_h,coal_flow_total_ref_t_h,air_total_knm3_h,air_primary_knm3_h,air_secondary_knm3_h,air_total_nm3_h,air_primary_nm3_h,air_secondary_nm3_h,air_primary_share_pct,o2_excess_pct,air_primary_press_z,air_secondary_press_z
2024-03-04 20:00:00,-29.261,-4.789,825.588,801.31,812.33,873.202,846.557,827.532,3.386,57.313,15.255,719.357,149.094,220.912,251.098,305.202,-2.65,13.588,52.126,1.317,741.034,311.574,829.996,3.668,112.363,3.637,0.501,799.81,-58.191,-3.946,724.638,510.917,-2.009,-2.321,92.497,54.291,0.036,854.841,850.159,-1.517,801.414,0.815,129.748,-4.027,-4.02,-3.95,-3.984,40.742,42.924,275.041,1.927,3.515,1.247,3.578,1.844,824.003,1350.721,9.655,9.492,14.244,15.445,876.501,-69.377,-0.037,274.745,-2.722,740.555,-1.998,16.588,-2.351,93.301,23.861,91.855,278.513,-1.038,-1.134,301.184,535.047,3.084,149.094,35.441,35.189,33.207,33.386,30.145,30.364,30.461,30.538,70.63,127.102,60.999,792.105,3.296,54.483,39.3,39.157,261.48,262.49,232.004,14.23,75.171,241.617,0.809,181.399,796.515,22.037,539.125,851.958,-70.596,34.978,0.081,14.987,216.232,219.208,51.375,373.926,8.914,-11.407,319.814,0.597,6.756,823.098,5.8636,425.239,0.956,258.614,-14.848,1.007,8.08,3532.898,1350.312,11.629,0.898,3400.362,7.249,0.011,-0.002,820.967,754.37,4.324,120.35,-1.755,120.738,0.286,76.941,334.361,7.115,5.67,1,-0.1342023175382722,-0.8389560254996907,-0.5323838204474414,-0.501847387828468,60.999,3.296,820.967,754.37,66.59699999999998,820967.0,754370.0,66596.99999999999,91.88798088108292,425.239,-0.7838001192706439,1.052091501488971
2024-03-04 21:00:00,-108.134,-5.171,825.544,811.599,833.576,862.128,854.534,844.748,3.387,63.585,14.79,724.644,148.889,221.211,250.8,314.589,-2.929,13.957,52.089,1.33,739.936,241.444,822.155,3.66,111.878,3.629,-0.179,819.464,-123.744,-4.278,729.855,497.98,-2.185,-2.64,91.694,54.265,0.05,857.11,869.488,-1.757,799.285,0.866,134.422,-4.365,-4.335,-4.268,-4.307,44.267,44.542,275.041,1.913,3.492,1.227,3.308,1.854,842.383,1343.631,9.669,9.529,14.656,15.285,867.387,-68.979,-0.037,285.817,-2.997,722.269,-2.198,16.102,-2.666,92.497,22.445,91.212,278.445,-1.529,-1.527,312.981,543.011,-2.428,148.889,36.471,36.59,34.69,34.64,31.454,31.413,31.216,31.577,73.061,132.197,62.793000000000006,758.382,3.13,54.384,39.254,39.22,263.872,270.392,235.803,14.637,74.713,244.043,0.8,181.152,750.372,15.386,540.435,843.526,-70.541,35.452,0.081,14.861,221.802,227.447,51.362,376.013,8.965,-102.32,257.283,0.634,6.9036,814.748,5.8436,430.209,0.952,268.618,-17.809,1.003,8.08,3328.354,1343.086,11.629,0.896,3141.224,7.15,0.04,0.021,831.163,760.544,4.801,120.231,-4.807,122.562,0.215,78.162,422.432,7.256,5.837,1,0.0642361266880458,-0.865403776009105,-0.4317877540892058,-0.4109851344700883,62.793000000000006,3.13,831.163,760.544,70.61900000000003,831163.0,760544.0,70619.00000000003,91.5035919548873,430.209,-0.765460318739068,1.0430242144301816
2024-03-04 22:00:00,-326.214,-5.175,818.281,796.0,823.651,850.588,848.192,828.109,3.358,68.911,15.039,723.133,149.094,220.762,250.353,296.888,-2.976,13.703,51.897,1.218,772.221,40.988,812.681,3.627,114.141,3.596,0.107,814.081,-317.196,-4.313,729.855,500.559,-2.296,-2.646,92.337,54.052,0.05,845.285,858.273,-1.825,791.006,0.938,132.979,-4.404,-4.361,-4.316,-4.339,41.345,42.032,275.041,1.898,3.769,1.153,2.872,1.814,831.907,1259.511,8.686,8.582,14.393,15.388,859.205,-69.57,-0.037,270.691,-3.059,726.066,-2.296,16.38,-2.679,92.658,21.658,91.533,278.412,-1.539,-1.48,292.909,538.933,7.679,149.094,36.833,36.649,35.638,34.557,31.692,32.021,31.962,31.738,73.482,133.90800000000002,63.7,783.069,3.518,54.182,39.134,39.003,264.86,265.723,238.962,14.389,59.18,248.025,0.795,181.152,824.713,28.367,540.292,853.921,-70.957,36.518,0.081,14.993,222.641,223.48,53.36,369.626,8.088,-330.013,55.225,0.677,6.1788,804.25,5.9489,431.051,0.95,271.057,-12.68,1.001,8.08,2990.295,1259.647,11.629,0.879,2890.852,7.234,-0.0,-0.003,821.837,735.131,5.282,120.158,-0.381,123.981,0.036,63.513,362.375,7.621,6.107,1,-0.2854471687928395,-0.9729545947062131,-0.6755960036130644,-0.6446659223707056,63.7,3.518,821.837,735.131,86.70600000000002,821837.0,735131.0,86706.00000000001,89.44973273288984,431.051,-0.8509318417762892,0.7687591182414044
2024-03-04 23:00:00,-82.224,-5.073,816.984,795.726,825.0,855.912,844.37,837.069,3.387,69.744,14.934,721.04,149.706,221.211,250.8,300.433,-2.89,14.037,52.046,1.348,799.673,245.473,813.399,3.63,114.465,3.599,0.179,812.736,-88.953,-4.23,731.171,508.295,-2.213,-2.565,91.212,54.212,0.055,847.698,864.331,-1.684,792.343,0.832,125.871,-4.299,-4.288,-4.239,-4.279,42.94,43.802,275.041,1.899,3.9,1.238,3.293,1.797,834.308,1314.319,9.474,9.261,14.73,15.594,859.357,-68.993,-0.037,267.32,-2.963,726.212,-2.195,16.281,-2.577,91.533,21.344,90.409,279.15,-1.285,-1.476,295.32,537.645,0.934,149.502,38.0,37.597,35.638,35.294,32.699,32.346,32.502,32.337,75.59700000000001,135.97699999999998,64.839,789.704,3.293,54.388,39.317,39.169,263.035,267.077,239.053,14.721,69.495,253.244,0.828,181.358,805.487,25.339,539.648,851.911,-69.958,36.755,0.081,15.125,223.251,225.159,52.337,362.469,8.762,-95.728,263.188,0.605,6.9567,805.391,5.8173,437.955,0.96,276.813,-23.075,1.012,8.08,2733.948,1314.046,11.629,0.929,2670.515,5.586,0.002,0.001,822.957,769.541,5.442,120.122,-2.899,117.499,0.107,73.798,443.597,7.867,6.198,1,-0.1793337007997059,-0.6165445374587004,-0.5581143490009782,-0.4513308624197948,64.839,3.293,822.957,769.541,53.41599999999994,822957.0,769541.0,53415.99999999994,93.50925990057804,437.955,-0.6530235903531669,0.9748700788696244
2024-03-05 00:00:00,-136.836,-4.9,818.104,805.631,829.148,847.918,845.275,839.477,3.38,72.575,14.938,725.765,149.706,221.211,250.949,304.714,-2.737,14.426,52.084,1.339,741.628,202.672,804.449,3.632,114.465,3.595,0.143,818.118,-137.843,-4.053,733.805,516.215,-2.065,-2.421,90.569,54.267,0.052,842.469,863.724,-1.545,784.376,0.878,127.088,-4.131,-4.103,-4.066,-4.078,38.866,39.827,275.19,2.016,3.801,1.282,3.357,1.826,837.265,1270.554,9.031,8.927,15.136,15.405,849.579,-68.636,-0.037,272.073,-2.824,716.724,-2.08,16.281,-2.455,90.891,21.029,89.606,278.915,-1.138,-1.305,299.457,534.954,-3.032,149.706,38.581,38.188,36.077,36.105,33.335,33.5,33.528,32.923,76.769,139.017,66.451,793.211,3.188,54.388,39.312,39.3,263.404,256.015,243.539,15.144,62.598,253.885,0.804,181.564,807.196,22.052,540.27,852.811,-70.057,36.637,0.081,14.93,220.352,216.232,53.994,370.318,8.382,-137.294,224.278,0.656,6.0748,799.084,5.9467,444.721,0.958,281.944,-28.753,1.008,8.08,3231.155,1270.282,11.629,0.882,3100.903,6.494,-0.001,-0.003,824.797,756.572,5.784,120.085,5.264,117.297,-0.179,65.009,402.709,8.016,6.126,1,-0.1326625662695633,-1.009714946626367,-0.4711178200291467,-0.5378317776416924,66.451,3.188,824.797,756.572,68.22500000000002,824797.0,756572.0,68225.00000000003,91.72826768283588,444.721,-0.6768489173474576,0.8424422491701877
2024-03-05 01:00:00,-218.822,-5.076,818.176,799.524,827.924,855.016,845.577,837.371,3.388,78.082,15.038,722.113,149.706,221.511,250.949,309.433,-2.896,14.578,51.918,1.267,773.135,120.457,810.934,3.64,114.626,3.61,0.143,815.426,-217.494,-4.231,735.123,521.325,-2.253,-2.599,90.891,54.159,0.073,846.642,862.71,-1.797,785.71,0.887,128.509,-4.31,-4.28,-4.249,-4.263,41.071,41.299,275.635,1.871,3.729,1.152,3.268,1.837,837.716,1240.424,8.673,8.543,15.33,15.388,856.831,-68.602,-0.037,276.525,-2.955,722.897,-2.248,16.38,-2.601,90.891,20.557,89.606,279.822,-1.398,-1.475,303.443,534.31,-2.051,149.706,38.792,38.687,36.503,36.755,33.715,33.729,33.157,33.582,77.479,140.702,66.739,793.794,3.284,54.281,39.38,39.352,263.717,260.562,246.469,15.328,58.539,253.61,0.782,181.605,803.351,23.418,539.604,852.345,-70.023,36.518,0.076,14.97,222.87,220.276,53.757,379.174,8.052,-227.565,148.975,0.641,5.8947,805.242,5.8321,450.402,0.962,285.014,-28.25,1.012,8.08,3097.641,1240.56,11.629,0.874,2977.061,6.494,0.023,0.002,822.707,763.757,6.238,119.929,0.61,118.308,-0.107,60.95,375.724,8.187,6.145,1,-0.179515185313706,-0.8877460644385713,-0.3741488797929735,-0.4804700431817503,66.739,3.284,822.707,763.757,58.950000000000045,822707.0,763757.0,58950.00000000005,92.83463006878512,450.402,-0.6777666454149561,0.7509467732917354
2024-03-05 02:00:00,-175.654,-5.059,814.661,795.508,826.822,855.016,836.322,838.5,3.388,82.742,15.036,725.356,149.911,221.062,251.098,315.326,-2.84,14.875,52.054,1.31,772.976,167.79,812.257,3.621,115.274,3.591,0.537,814.081,-177.394,-4.206,735.123,526.478,-2.273,-2.552,89.445,54.286,0.102,837.652,862.104,-1.759,789.521,0.915,130.54,-4.277,-4.248,-4.205,-4.253,42.52,42.024,275.486,2.001,3.762,1.258,3.32,1.824,833.632,1246.286,8.868,8.677,15.593,15.434,856.18,-68.753,-0.038,282.159,-2.906,722.853,-2.198,16.405,-2.556,89.285,19.928,88.482,279.922,-1.118,-1.437,307.676,533.094,2.659,149.911,38.856,39.35,37.176,36.746,34.397,34.15,34.471,33.944,78.206,142.469,68.41499999999999,801.74,3.267,54.451,39.386,39.375,266.014,263.069,248.117,15.592,58.63,256.998,0.802,181.605,804.205,28.639,539.103,856.215,-70.383,36.281,0.081,14.896,224.396,221.42,54.379,365.251,8.277,-166.773,206.563,0.676,6.0925,807.628,5.8268,452.732,0.962,288.746,-23.33,1.012,8.08,2857.315,1245.196,11.629,0.9,2730.74,6.174,-0.007,0.0,819.65,762.325,6.608,119.911,2.975,119.726,0.107,61.682,314.613,8.517,6.053,1,-0.2432366763210095,-0.8428827138909817,-0.3088642748561261,-0.4649945550227057,68.41499999999999,3.267,819.65,762.325,57.32499999999993,819650.0,762325.0,57324.999999999935,93.00616116635148,452.732,-0.5996632555473149,0.796095659340272
2024-03-05 03:00:00,-339.809,-5.183,817.132,795.15,841.449,846.561,844.973,856.074,3.396,87.485,15.193,731.152,149.706,221.511,251.098,326.503,-2.947,14.829,52.038,1.206,765.228,-5.292,812.479,3.605,114.95,3.575,-0.215,824.856,-333.217,-4.37,732.488,492.963,-2.319,-2.654,88.161,54.318,0.138,845.482,872.677,-1.686,787.147,0.874,138.31,-4.445,-4.424,-4.38,-4.385,41.582,40.994,275.19,1.702,3.532,1.097,2.786,1.745,851.103,1198.296,8.344,8.183,15.599,15.657,853.308,-69.058,-0.037,294.592,-3.024,709.584,-2.294,16.484,-2.692,88.803,19.3,87.679,279.788,-1.437,-1.588,322.841,540.342,-2.232,149.706,38.481,38.522,36.718,36.297,33.418,33.546,33.573,33.788,77.003,139.97899999999998,67.36099999999999,767.09,3.415,54.454,39.472,39.592,273.056,262.504,250.131,15.601,52.252,257.959,0.784,181.605,753.79,25.556,540.413,845.399,-70.473,35.926,0.076,15.216,229.584,221.42,55.801,370.795,7.734,-352.077,28.766,0.634,5.8616,804.967,5.8939,457.669,0.964,284.388,-29.856,1.014,8.08,2995.636,1197.614,11.629,0.867,2877.62,5.93,0.033,-0.003,827.758,748.98,6.935,119.856,7.095,124.792,-0.715,53.351,369.752,8.743,6.0,1,-0.1260177955023384,-0.9926067454381652,-0.3545044644018182,-0.491043001780774,67.36099999999999,3.415,827.758,748.98,78.77800000000002,827758.0,748980.0,78778.00000000001,90.4829672440496,457.669,-0.5515604902663844,0.6488927553553369
2024-03-05 04:00:00,-134.318,-5.064,810.662,789.102,833.177,853.005,845.947,849.984,3.363,88.638,15.095,735.742,149.094,220.958,250.696,295.854,-2.917,14.911,52.08,1.43,747.303,217.274,811.211,3.599,113.333,3.569,0.143,820.811,-149.47,-4.255,736.441,499.413,-2.219,-2.568,87.84,54.307,0.159,841.264,868.729,-1.655,787.147,0.879,131.394,-4.315,-4.267,-4.253,-4.227,41.04,42.024,275.235,1.979,3.709,1.259,3.198,1.94,840.473,1172.255,8.12,7.954,15.661,15.399,853.006,-70.033,-0.037,268.806,-2.97,714.829,-2.211,16.437,-2.587,87.679,18.357,87.038,278.949,-1.223,-1.5,292.022,537.122,3.185,149.094,39.35,39.762,37.158,37.835,34.649,34.562,34.443,34.077,79.112,144.204,68.52,785.961,3.219,54.489,39.775,39.466,273.319,260.851,253.244,15.667,47.98,261.392,0.773,181.193,815.314,26.768,539.125,857.146,-71.407,35.689,0.076,14.919,227.447,220.047,56.328,364.825,7.549,-126.673,225.377,0.69,5.5634,805.019,5.8129,464.094,0.95,291.791,-20.665,1.002,8.08,3479.492,1172.391,11.629,0.86,3298.828,5.83,-0.022,-0.001,821.997,758.56,7.072,119.819,6.332,123.373,-0.25,51.154,357.774,9.014,5.867,1,-0.1626855968295661,-0.9154724588041786,-0.6517816370710586,-0.5766465642349345,68.52,3.219,821.997,758.56,63.43700000000001,821997.0,758560.0,63437.000000000015,92.28257524054224,464.094,-0.6584833770765103,0.5828800058668498
2024-03-05 05:00:00,-203.212,-5.122,811.002,792.684,819.631,848.22,837.595,835.57,3.387,86.938,15.019,718.31,149.706,221.407,251.144,302.943,-2.971,14.835,51.921,1.426,735.397,138.355,810.064,3.633,114.95,3.603,-0.107,803.339,-182.612,-4.295,731.171,511.016,-2.309,-2.646,87.198,54.154,0.177,838.404,853.33,-1.863,787.341,0.904,124.086,-4.378,-4.36,-4.315,-4.338,39.171,40.544,275.235,2.013,3.945,1.23,3.346,1.942,825.923,1205.521,8.502,8.362,15.599,15.239,852.704,-69.044,-0.037,267.812,-3.035,718.665,-2.3,16.36,-2.658,86.717,17.728,86.075,279.184,-1.387,-1.434,296.65,535.856,-3.022,149.706,39.185,39.382,37.364,37.602,34.356,34.699,34.722,34.498,78.56700000000001,144.02100000000002,69.22,790.205,3.287,54.249,39.638,39.312,264.588,259.523,250.543,15.593,53.046,260.66,0.796,181.605,811.468,21.486,539.147,851.958,-70.253,35.57,0.076,14.798,224.396,220.734,55.098,340.596,7.939,-208.705,156.666,0.679,5.6982,802.606,5.8574,458.59,0.962,291.301,-28.69,1.012,8.08,3031.418,1204.294,11.629,0.874,2916.838,5.731,0.012,-0.0,814.869,761.133,6.861,119.7,4.349,115.476,-0.215,56.25,285.846,8.552,5.879,1,-0.3455171823924169,-1.1362429454744836,-0.5763012548533708,-0.6860204609067572,69.22,3.287,814.869,761.133,53.73599999999999,814869.0,761133.0,53735.99999999999,93.4055658026014,458.59,-0.6995536438526538,0.6871230526226683
