variavel,count,mean,std,min,q25,median,q75,max
1_lms_pdr_bin_continous_lvl_m,188,7.9676648936170205,0.9159276641928,4.324,7.5177499999999995,7.9879999999999995,8.661750000000001,9.503
2_lms_pdr_bin_continous_lvl_m,188,119.63226063829788,3.9949103784320874,84.462,119.99825,120.35,120.662,128.966
air_primary_knm3_h,188,763.79975,12.587094005953313,729.402,755.6405,763.7815,771.83975,793.213
air_primary_nm3_h,188,763799.75,12587.094005953317,729402.0,755640.5,763781.5,771839.75,793213.0
air_primary_press_z,188,-0.6160382874989223,0.1548869302551851,-0.8848738700448181,-0.7207948717088157,-0.6561435443117137,-0.5235232043571427,-0.2090363510354508
air_primary_share_pct,188,93.03817771616515,1.8560451405787077,88.46694506064955,91.83519526246215,93.01272881464995,94.06606019453058,97.69880747717262
air_secondary_knm3_h,188,57.23174468085106,15.471399787295063,18.579000000000065,48.63225,57.36149999999998,67.737,95.08899999999994
air_secondary_nm3_h,188,57231.744680851065,15471.399787295062,18579.000000000065,48632.25,57361.49999999998,67737.0,95088.99999999994
air_secondary_press_z,188,0.8772919272042844,0.2059582955962611,0.5136152940811599,0.7218120847036495,0.8549554337088265,1.0521512699606792,1.3748171711013832
air_total_knm3_h,188,821.0314946808512,6.700817680567563,800.254,816.71325,822.1505,825.92625,834.87
air_total_nm3_h,188,821031.4946808511,6700.817680567563,800254.0,816713.25,822150.5,825926.25,834870.0
aph_main_motor_phase_u_current_nan,188,0.07761702127659574,0.0024192029578802504,0.07,0.076,0.076,0.081,0.081
aph_main_motor_phase_w_current_nan,188,14.945611702127657,0.1541019985548033,14.684,14.827,14.93,15.027,15.691
bed_temperature_average_adegc,188,-105.186,107.5959612985762,-372.54,-182.8525,-114.1075,-36.482,201.408
burner_perc_do_ar_total_,188,6.388951595744682,0.538997883427835,4.6119,6.0280499999999995,6.4189,6.835175,7.3626
coal_flow_furnace_t_h,188,65.86998936170214,2.9245689988036228,60.898,63.822,65.37450000000001,67.716,73.13
coal_flow_total_ref_t_h,188,3.2155531914893616,0.1258172103393149,2.857,3.14275,3.206,3.255,3.823
coal_perc_do_ar_total_,188,797.9476914893617,10.09091434781311,732.288,790.5495000000001,799.25,803.9849999999999,823.098
cur_of_hpa_fan_mtr_a_a,188,54.38730851063829,0.13235760396838256,54.103,54.293499999999995,54.3875,54.48075,54.811
cur_of_hpa_fan_mtr_b_a,188,38.797728723404255,0.3826219365592219,38.047,38.493,38.724999999999994,39.043,39.918
cur_of_hpa_fan_mtr_c_a,188,38.68983510638298,0.38712664185743834,37.944,38.362,38.645,38.9985,39.678
cur_of_induced_draft_fan_mtr_a_a,188,272.68903191489363,5.713324422452767,261.48,268.57675,272.49850000000004,276.46400000000006,291.984
cur_of_induced_draft_fan_mtr_b_a,188,267.80809042553193,7.756534956530942,250.069,262.5005,266.65,272.57950000000005,289.696
cur_of_primary_air_fan_mtr_a_a,188,242.22260106382979,9.989425237886032,225.458,233.583,240.518,250.62324999999998,265.695
cur_of_primary_air_fan_mtr_b_a,188,15.458861702127658,0.8941450922596736,14.015,14.75225,15.278,16.1265,18.067
cur_of_secondary_air_fan_mtr_a_a,188,65.89664893617021,12.604216029819645,46.637,55.07475,63.498,76.048,97.906
cur_of_secondary_air_fan_mtr_b_a,188,252.62308510638297,9.828324519419793,233.835,245.03825,251.642,259.44625,279.703
deaerator_pressure_mpa,188,181.57376063829787,0.24507083150197048,180.904,181.358,181.564,181.77,182.183
deaerator_upstream_pressure_mpa,188,799.4908297872341,16.878418451227088,744.605,795.3935,803.2439999999999,809.118,827.063
deaerator_water_level_mm,188,0.9622499999999998,0.006008572307667659,0.944,0.958,0.962,0.967,0.977
dev_of_current_a,188,0.8595,0.03924113033744604,0.773,0.831,0.856,0.88925,0.954
differential_prs_of_furnace_a_kpa,188,782.076340425532,9.877035692216001,720.663,776.25525,782.8485000000001,788.2972500000001,804.29
differential_prs_of_furnace_b_kpa,188,0.978808510638298,0.07136713493318952,0.815,0.928,0.9715,1.01725,1.179
drum_level_sel_mm,188,279.62781914893617,12.190353787062499,258.614,269.81025,277.6375,289.11425,308.691
drum_pres_sel_mpa,188,25.170058510638295,6.151809968152359,10.376,21.23725,24.7685,28.64,42.568
dust_concentrat_raw_flue_gas_mg_m3,188,0.9421489361702128,0.04170393675791533,0.841,0.9127500000000001,0.941,0.97425,1.043
esp_comb_with_ff_a_inl_prs_1_kpa,188,134.87820212765956,5.4162167649095645,124.005,131.09375,133.9645,138.53799999999998,150.957
esp_comb_with_ff_a_inl_prs_2_kpa,188,-4.361904255319149,0.14264702100680646,-4.86,-4.4510000000000005,-4.345,-4.2785,-3.908
