variavel,count,mean,std,min,q25,median,q75,max
1_lms_pdr_bin_continous_lvl_m,11538,6.768063269197434,1.7495499666718242,-0.089,5.658,7.029,8.14575,10.1
2_lms_pdr_bin_continous_lvl_m,11497,73.41775106549535,57.60645553695892,-0.046,7.611,121.403,123.848,129.817
air_primary_knm3_h,11559,665.0253646509213,179.76284068701037,361.992,470.318,745.671,812.0115000000001,969.642
air_primary_nm3_h,11559,665025.3646509213,179762.84068701038,361992.0,470318.0,745671.0,812011.5,969642.0
air_primary_press_z,11569,0.01001082185580492,0.7424788567792987,-2.41896264244318,-0.5477695345491332,-0.0718150354884805,0.3730491720930453,3.409640491115196
air_primary_share_pct,7285,69.7101356543496,18.89573013912896,47.22403716706106,56.01995036561581,58.63339293794265,91.95356843488167,113.3680968491974
air_secondary_knm3_h,7285,251.38052161976665,150.10136245013794,0.0,65.54000000000008,337.371,360.331,467.68
air_secondary_nm3_h,7285,251380.52161976663,150101.36245013794,0.0,65540.00000000007,337371.0,360331.0,467680.0
air_secondary_press_z,11569,-0.014242222889569944,0.497958714399423,-1.9060824794559987,-0.3322038208581317,-0.1301510325216412,0.1789787999484814,2.0292485343125715
air_total_knm3_h,7285,823.0368782429649,34.11384084385474,511.171,807.448,821.119,837.163,961.692
air_total_nm3_h,7285,823036.878242965,34113.84084385474,511171.0,807448.0,821119.0,837163.0,961692.0
aph_main_motor_phase_u_current_nan,11569,16.274165960757195,14.922130585082344,0.018,0.076,14.913,15.582,42.556
aph_main_motor_phase_w_current_nan,11569,15.23780784856081,0.31659120295145743,14.518,15.022,15.193,15.428,26.054
bed_temperature_average_adegc,8846,141.40655403572234,409.30979661449214,-504.193,-134.80975,-53.11,799.70025,1285.124
burner_perc_do_ar_total_,11547,7.276576764527584,1.0572659096484793,0.9661,6.6166,7.3802,8.0315,12.2683
coal_flow_furnace_t_h,11569,72.07583654594174,9.725492648740797,40.023,65.851,70.93700000000001,78.687,111.046
coal_flow_total_ref_t_h,11560,126.04953788927334,142.0765728484462,2.473,3.079,3.3655,283.54025,367.899
coal_perc_do_ar_total_,11554,468.45623133114077,402.93632033005423,4.628,5.507525,790.8489999999999,814.54575,921.856
cur_of_hpa_fan_mtr_a_a,11569,43.14338948915205,16.42883427662717,-0.044,38.831,41.629,55.286,60.081
cur_of_hpa_fan_mtr_b_a,11569,36.11614340046676,11.079749042947402,0.053,38.413,39.472,40.364,42.545
cur_of_hpa_fan_mtr_c_a,11568,16.98138399031812,19.38760664525136,0.018,0.07,0.076,39.071,42.402
cur_of_induced_draft_fan_mtr_a_a,11569,279.87098184804216,34.57338188746155,-207.729,255.371,270.135,307.175,377.289
cur_of_induced_draft_fan_mtr_b_a,11560,274.00062370242216,35.88800487695292,145.126,248.199,264.647,300.14300000000003,376.068
cur_of_primary_air_fan_mtr_a_a,11569,240.5847368830495,45.283674453128526,0.009,235.62,251.001,267.847,389.886
cur_of_primary_air_fan_mtr_b_a,11569,104.02438222836892,106.03804663188683,0.33,15.956,19.469,240.839,360.544
cur_of_secondary_air_fan_mtr_a_a,11569,106.99871873109173,30.722721479826077,0.403,81.854,111.792,131.903,207.678
cur_of_secondary_air_fan_mtr_b_a,11569,185.41355156020398,85.36208789875602,-0.082,92.627,234.384,257.959,373.819
deaerator_pressure_mpa,11568,105.54473807053944,91.0471298487465,0.02,1.032,181.234,184.288,191.644
deaerator_upstream_pressure_mpa,11569,454.9528820122741,395.28449185431435,0.045,1.082,776.221,803.992,905.89
deaerator_water_level_mm,11568,342.50999308437065,392.6731220093178,0.019,0.971,1.178,797.156,954.382
dev_of_current_a,11567,4.0334611394484305,5.883906227165884,-206.757,0.909,1.192,7.172,44.708
differential_prs_of_furnace_a_kpa,11569,457.21571345838015,397.58660850340226,0.212,1.16,773.867,800.865,915.286
differential_prs_of_furnace_b_kpa,11569,0.942092056357507,0.17887348788472818,-0.015,0.86,0.957,1.052,2.034
drum_level_sel_mm,11553,168.2183367956375,148.734030801254,-104.718,0.324,263.416,297.254,380.045
drum_pres_sel_mpa,11569,19.42490232517936,10.127324187170538,-53.999,17.526,17.707,23.415,71.626
dust_concentrat_raw_flue_gas_mg_m3,11554,3.9430173965726154,6.7009201735373685,-0.095,0.911,1.083,1.466,99.832
esp_comb_with_ff_a_inl_prs_1_kpa,11569,76.13179773532715,70.7109683509499,-6.66,-4.777,129.301,138.203,160.88
esp_comb_with_ff_a_inl_prs_2_kpa,11569,-4.784782781571441,0.5942587102345819,-6.608,-5.149,-4.725,-4.38,-1.554
esp_comb_with_ff_b_inl_prs_1_kpa,11569,-4.670135275304694,0.6336995893519196,-6.725,-5.093,-4.624,-4.203,-1.405
esp_comb_with_ff_b_inl_prs_2_kpa,11569,-4.736622352839484,0.598665469021198,-6.568,-5.109,-4.724,-4.311,-1.51
esp_comb_with_ff_b_outl_prs_kpa,11568,-4.641855722683264,1.3572409608075804,-7.803,-5.613250000000001,-5.203,-3.989,-0.544
esp_comb_with_ff_b_outl_temp_adegc,11568,49.426139868603045,63.390033043367225,-7.696,-5.5915,-4.867,121.225,139.344
feed_water_flw_sel_t_h,11569,381.6386197597027,441.0031794744681,-59.217,-1.561,7.724,884.095,1085.447
flw_of_cnd_water_before_dea_t_h,11566,421.3017145080408,311.0097364006615,51.605,149.911,155.882,772.19475,996.208
flw_output_of_belt_coal_fdr_a1_t_h,11504,38.97634092489569,5.804186679704303,0.0,36.151,38.59,41.726,59.986
flw_output_of_belt_coal_fdr_a2_t_h,11543,38.34015065407606,6.1569221147672515,0.051,35.601,38.142,41.305,59.872
flw_output_of_belt_coal_fdr_b1_t_h,11461,36.75165142657709,6.813197582841078,0.097,34.521,37.13,39.922,55.354
flw_output_of_belt_coal_fdr_b2_t_h,11532,36.93692898022893,6.755717036547445,-0.563,34.762,37.18,40.206,57.583
flw_output_of_belt_coal_fdr_b3_t_h,11485,35.17259651719635,5.694797682741514,-0.109,32.758,35.02,38.275,54.081
flw_output_of_belt_coal_fdr_b4_t_h,11519,35.88904922302283,6.13828136211518,0.042,33.033,35.496,39.501,59.469
flw_output_of_belt_coal_fdr_c1_t_h,11524,36.01983009371746,5.49324595350779,0.038,32.905,35.466,39.309,59.025
flw_output_of_belt_coal_fdr_c2_t_h,11499,36.41645630054787,5.563161164576322,0.102,33.138,35.89,39.792,59.895
