Variavel_1,Variavel_2,Pearson_r
differential_prs_of_furnace_a_kpa,prs_hot_sa_saf_a_in_aph_outl_kpa,0.9998301408317285
prs_hot_sa_saf_a_in_aph_outl_kpa,differential_prs_of_furnace_a_kpa,0.9998301408317285
temperature_of_cyclone_c_inlet_adegc,temp_of_gas_in_ltr_side_b_inl_adegc,0.9997425252724971
temp_of_gas_in_ltr_side_b_inl_adegc,temperature_of_cyclone_c_inlet_adegc,0.9997425252724971
prs_of_gas_in_ltr_side_a_inlet_kpa,differential_prs_of_furnace_a_kpa,0.9996164919896889
differential_prs_of_furnace_a_kpa,prs_of_gas_in_ltr_side_a_inlet_kpa,0.9996164919896889
prs_hot_sa_saf_a_in_aph_outl_kpa,prs_of_gas_in_ltr_side_a_inlet_kpa,0.9995704403124148
prs_of_gas_in_ltr_side_a_inlet_kpa,prs_hot_sa_saf_a_in_aph_outl_kpa,0.9995704403124148
u_valve_c_inlet_static_prs_kpa,prs_of_gas_in_aph_outlet_kpa,0.9995435939554994
prs_of_gas_in_aph_outlet_kpa,u_valve_c_inlet_static_prs_kpa,0.9995435939554994
prs_of_gas_in_ltr_side_b_outl_kpa,prs_of_gas_in_ecmz_side_b_outl_kpa,0.9995074839993174
prs_of_gas_in_ecmz_side_b_outl_kpa,prs_of_gas_in_ltr_side_b_outl_kpa,0.9995074839993174
differential_prs_of_furnace_a_kpa,coal_perc_do_ar_total_,0.9994743705824479
coal_perc_do_ar_total_,differential_prs_of_furnace_a_kpa,0.9994743705824479
temp_of_furnace_a_outl_adegc,temperature_of_cyclone_b_inlet_adegc,0.9994682945633784
temperature_of_cyclone_b_inlet_adegc,temp_of_furnace_a_outl_adegc,0.9994682945633784
prs_hot_sa_saf_a_in_aph_outl_kpa,coal_perc_do_ar_total_,0.9994504832956798
coal_perc_do_ar_total_,prs_hot_sa_saf_a_in_aph_outl_kpa,0.9994504832956798
temp_of_gas_in_aph_outl_adegc,esp_comb_with_ff_b_outl_temp_adegc,0.9993693950041447
esp_comb_with_ff_b_outl_temp_adegc,temp_of_gas_in_aph_outl_adegc,0.9993693950041447
esp_comb_with_ff_a_inl_prs_2_kpa,esp_comb_with_ff_b_inl_prs_2_kpa,0.9993421686218722
esp_comb_with_ff_b_inl_prs_2_kpa,esp_comb_with_ff_a_inl_prs_2_kpa,0.9993421686218722
temperature_of_cyclone_b_inlet_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9992597454352307
temp_of_gas_in_ltr_side_a_inl_adegc,temperature_of_cyclone_b_inlet_adegc,0.9992597454352307
temp_of_furnace_a_outl_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9992318886791195
temp_of_gas_in_ltr_side_a_inl_adegc,temp_of_furnace_a_outl_adegc,0.9992318886791195
hot_reheat_steam_temperature_1_adegc,miain_steam_temperature_adegc,0.9992146544163247
miain_steam_temperature_adegc,hot_reheat_steam_temperature_1_adegc,0.9992146544163247
prs_of_gas_in_ltr_side_a_inlet_kpa,coal_perc_do_ar_total_,0.9991129358881062
coal_perc_do_ar_total_,prs_of_gas_in_ltr_side_a_inlet_kpa,0.9991129358881062
temp_1_of_furnace_a_inner_adegc,temperature_of_cyclone_c_inlet_adegc,0.999100408279965
temperature_of_cyclone_c_inlet_adegc,temp_1_of_furnace_a_inner_adegc,0.999100408279965
temp_of_gas_in_ltr_side_b_outl_adegc,temp_of_gas_in_ltr_side_b_inl_adegc,0.9990603309629418
temp_of_gas_in_ltr_side_b_inl_adegc,temp_of_gas_in_ltr_side_b_outl_adegc,0.9990603309629418
temp_of_gas_in_ltr_side_b_inl_adegc,temp_1_of_furnace_a_inner_adegc,0.9989931215239601
temp_1_of_furnace_a_inner_adegc,temp_of_gas_in_ltr_side_b_inl_adegc,0.9989931215239601
temperature_of_cyclone_a_inlet_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9987276833094603
temp_of_gas_in_ltr_side_a_inl_adegc,temperature_of_cyclone_a_inlet_adegc,0.9987276833094603
pressure_of_furnace_b_lower_kpa,differential_prs_of_furnace_a_kpa,0.9986260288898874
differential_prs_of_furnace_a_kpa,pressure_of_furnace_b_lower_kpa,0.9986260288898874
temp_of_furnace_a_outl_adegc,temperature_of_cyclone_a_inlet_adegc,0.9986210070353516
temperature_of_cyclone_a_inlet_adegc,temp_of_furnace_a_outl_adegc,0.9986210070353516
temperature_of_cyclone_a_inlet_adegc,temperature_of_cyclone_b_inlet_adegc,0.9986011237588244
temperature_of_cyclone_b_inlet_adegc,temperature_of_cyclone_a_inlet_adegc,0.9986011237588244
esp_comb_with_ff_a_inl_prs_2_kpa,prs_of_gas_in_ecmz_side_b_outl_kpa,0.9984681361233346
prs_of_gas_in_ecmz_side_b_outl_kpa,esp_comb_with_ff_a_inl_prs_2_kpa,0.9984681361233346
prs_of_gas_in_ltr_side_a_inlet_kpa,pressure_of_furnace_b_lower_kpa,0.9984528998586815
pressure_of_furnace_b_lower_kpa,prs_of_gas_in_ltr_side_a_inlet_kpa,0.9984528998586815
prs_hot_sa_saf_a_in_aph_outl_kpa,pressure_of_furnace_b_lower_kpa,0.9984474943692715
pressure_of_furnace_b_lower_kpa,prs_hot_sa_saf_a_in_aph_outl_kpa,0.9984474943692715
temp_of_gas_in_ltr_side_b_outl_adegc,temperature_of_cyclone_c_inlet_adegc,0.9982596467030429
temperature_of_cyclone_c_inlet_adegc,temp_of_gas_in_ltr_side_b_outl_adegc,0.9982596467030429
te_no_7_hp_heater_ol_feed_wtr_adegc,te_no_8_hp_heater_ol_feed_wtr_adegc,0.9981682491690561
te_no_8_hp_heater_ol_feed_wtr_adegc,te_no_7_hp_heater_ol_feed_wtr_adegc,0.9981682491690561
furnace_bed_temp_7_9_sel_adegc,furnace_bed_temp_4_6_sel_adegc,0.998128685054773
furnace_bed_temp_4_6_sel_adegc,furnace_bed_temp_7_9_sel_adegc,0.998128685054773
esp_comb_with_ff_b_inl_prs_2_kpa,prs_of_gas_in_ecmz_side_b_outl_kpa,0.9981071311664012
prs_of_gas_in_ecmz_side_b_outl_kpa,esp_comb_with_ff_b_inl_prs_2_kpa,0.9981071311664012
coal_perc_do_ar_total_,pressure_of_furnace_b_lower_kpa,0.9980575832334283
pressure_of_furnace_b_lower_kpa,coal_perc_do_ar_total_,0.9980575832334283
temperature_of_cyclone_a_inlet_adegc,temp_3_of_furnace_b_inner_adegc,0.9980543995011358
temp_3_of_furnace_b_inner_adegc,temperature_of_cyclone_a_inlet_adegc,0.9980543995011358
temp_of_gas_in_ltr_side_b_outl_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,0.9979698351091995
te_of_gas_in_ecmz_side_b_outl_adegc,temp_of_gas_in_ltr_side_b_outl_adegc,0.9979698351091995
temp_1_of_furnace_a_inner_adegc,temp_of_gas_in_ltr_side_b_outl_adegc,0.9979085878914763
temp_of_gas_in_ltr_side_b_outl_adegc,temp_1_of_furnace_a_inner_adegc,0.9979085878914763
te_of_hot_pri_air_in_aph_outl_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,0.9976506202680259
te_of_gas_in_ecmz_side_b_outl_adegc,te_of_hot_pri_air_in_aph_outl_adegc,0.9976506202680259
furnace_bed_temp_4_6_sel_adegc,furnace_bed_temp_1_3_sel_adegc,0.9975351030736832
furnace_bed_temp_1_3_sel_adegc,furnace_bed_temp_4_6_sel_adegc,0.9975351030736832
prs_of_gas_in_ltr_side_b_outl_kpa,esp_comb_with_ff_b_inl_prs_2_kpa,0.9975123931417502
esp_comb_with_ff_b_inl_prs_2_kpa,prs_of_gas_in_ltr_side_b_outl_kpa,0.9975123931417502
esp_comb_with_ff_a_inl_prs_2_kpa,prs_of_gas_in_ltr_side_b_outl_kpa,0.9975076983094632
prs_of_gas_in_ltr_side_b_outl_kpa,esp_comb_with_ff_a_inl_prs_2_kpa,0.9975076983094632
hot_reheat_steam_pressure_mpa,u_valve_c_inlet_static_prs_kpa,0.9975055354044563
u_valve_c_inlet_static_prs_kpa,hot_reheat_steam_pressure_mpa,0.9975055354044563
hot_reheat_steam_pressure_mpa,prs_of_gas_in_aph_outlet_kpa,0.9974752120114789
prs_of_gas_in_aph_outlet_kpa,hot_reheat_steam_pressure_mpa,0.9974752120114789
temp_of_gas_in_ltr_side_b_outl_adegc,te_of_hot_pri_air_in_aph_outl_adegc,0.9973234940365949
te_of_hot_pri_air_in_aph_outl_adegc,temp_of_gas_in_ltr_side_b_outl_adegc,0.9973234940365949
miain_steam_temperature_adegc,temp_of_gas_in_ltr_side_b_outl_adegc,0.9972864814769199
temp_of_gas_in_ltr_side_b_outl_adegc,miain_steam_temperature_adegc,0.9972864814769199
temp_3_of_furnace_b_inner_adegc,furnace_bed_temp_16_18_sel_adegc,0.9972632307813571
furnace_bed_temp_16_18_sel_adegc,temp_3_of_furnace_b_inner_adegc,0.9972632307813571
temp_of_gas_in_ltr_side_a_outl_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9970974018736245
temp_of_gas_in_ltr_side_a_inl_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9970974018736245
temp_of_gas_in_ltr_side_b_inl_adegc,miain_steam_temperature_adegc,0.9970781464533897
miain_steam_temperature_adegc,temp_of_gas_in_ltr_side_b_inl_adegc,0.9970781464533897
temp_of_cnd_water_of_dea_inl_adegc,temp_of_3_lph_outl_wtr_adegc,0.9970405668009116
temp_of_3_lph_outl_wtr_adegc,temp_of_cnd_water_of_dea_inl_adegc,0.9970405668009116
temp_of_furnace_b_outl_adegc,bed_temperature_average_adegc,0.9969371550140361
bed_temperature_average_adegc,temp_of_furnace_b_outl_adegc,0.9969371550140361
temperature_of_cyclone_b_inlet_adegc,furnace_bed_temp_16_18_sel_adegc,0.9969029236757055
furnace_bed_temp_16_18_sel_adegc,temperature_of_cyclone_b_inlet_adegc,0.9969029236757055
te_of_hot_pri_air_in_aph_outl_adegc,temp_of_gas_in_ltr_side_b_inl_adegc,0.9968735037369375
temp_of_gas_in_ltr_side_b_inl_adegc,te_of_hot_pri_air_in_aph_outl_adegc,0.9968735037369375
esp_comb_with_ff_a_inl_prs_2_kpa,esp_comb_with_ff_b_inl_prs_1_kpa,0.996820517456344
esp_comb_with_ff_b_inl_prs_1_kpa,esp_comb_with_ff_a_inl_prs_2_kpa,0.996820517456344
esp_comb_with_ff_b_inl_prs_2_kpa,esp_comb_with_ff_b_inl_prs_1_kpa,0.9967815893300916
esp_comb_with_ff_b_inl_prs_1_kpa,esp_comb_with_ff_b_inl_prs_2_kpa,0.9967815893300916
temperature_of_cyclone_b_inlet_adegc,temp_3_of_furnace_b_inner_adegc,0.9967432771265846
temp_3_of_furnace_b_inner_adegc,temperature_of_cyclone_b_inlet_adegc,0.9967432771265846
miain_steam_temperature_adegc,te_of_hot_pri_air_in_aph_outl_adegc,0.996645965853633
te_of_hot_pri_air_in_aph_outl_adegc,miain_steam_temperature_adegc,0.996645965853633
temp_of_gas_in_ltr_side_a_outl_adegc,te_of_gas_in_ecmz_side_a_outl_adegc,0.9966346334765187
te_of_gas_in_ecmz_side_a_outl_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,0.9966346334765187
prs_of_gas_in_ltr_side_a_inlet_kpa,u_valve_c_inlet_static_prs_kpa,0.9965122980794315
u_valve_c_inlet_static_prs_kpa,prs_of_gas_in_ltr_side_a_inlet_kpa,0.9965122980794315
temp_of_gas_in_ltr_side_a_inl_adegc,temp_3_of_furnace_b_inner_adegc,0.9964960429350826
temp_3_of_furnace_b_inner_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9964960429350826
furnace_bed_temp_16_18_sel_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9964959361869509
temp_of_gas_in_ltr_side_a_inl_adegc,furnace_bed_temp_16_18_sel_adegc,0.9964959361869509
temp_of_gas_in_ltr_side_b_inl_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,0.9964391900049498
te_of_gas_in_ecmz_side_b_outl_adegc,temp_of_gas_in_ltr_side_b_inl_adegc,0.9964391900049498
hot_reheat_steam_temperature_1_adegc,temp_of_gas_in_ltr_side_b_outl_adegc,0.996433194557389
temp_of_gas_in_ltr_side_b_outl_adegc,hot_reheat_steam_temperature_1_adegc,0.996433194557389
temperature_of_cyclone_a_inlet_adegc,furnace_bed_temp_16_18_sel_adegc,0.9963911692645702
furnace_bed_temp_16_18_sel_adegc,temperature_of_cyclone_a_inlet_adegc,0.9963911692645702
temp_3_of_furnace_b_inner_adegc,temp_1_of_furnace_b_inner_adegc,0.9963270480701144
temp_1_of_furnace_b_inner_adegc,temp_3_of_furnace_b_inner_adegc,0.9963270480701144
prs_of_gas_in_ltr_side_a_inlet_kpa,hot_reheat_steam_pressure_mpa,0.9963032113222755
hot_reheat_steam_pressure_mpa,prs_of_gas_in_ltr_side_a_inlet_kpa,0.9963032113222755
prs_of_gas_in_ecmz_side_b_outl_kpa,esp_comb_with_ff_b_inl_prs_1_kpa,0.9962835510437271
esp_comb_with_ff_b_inl_prs_1_kpa,prs_of_gas_in_ecmz_side_b_outl_kpa,0.9962835510437271
temperature_of_cyclone_c_inlet_adegc,miain_steam_temperature_adegc,0.9962658852693492
miain_steam_temperature_adegc,temperature_of_cyclone_c_inlet_adegc,0.9962658852693492
temp_1_of_furnace_a_inner_adegc,miain_steam_temperature_adegc,0.9962390429192335
miain_steam_temperature_adegc,temp_1_of_furnace_a_inner_adegc,0.9962390429192335
te_of_gas_in_ecmz_side_b_outl_adegc,hot_reheat_steam_temperature_1_adegc,0.9961495593118037
hot_reheat_steam_temperature_1_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,0.9961495593118037
temp_1_of_furnace_a_inner_adegc,te_of_hot_pri_air_in_aph_outl_adegc,0.996118479544584
te_of_hot_pri_air_in_aph_outl_adegc,temp_1_of_furnace_a_inner_adegc,0.996118479544584
furnace_bed_temp_10_12_sel_adegc,furnace_bed_temp_13_15_sel_adegc,0.996073965044688
furnace_bed_temp_13_15_sel_adegc,furnace_bed_temp_10_12_sel_adegc,0.996073965044688
prs_of_gas_in_aph_outlet_kpa,prs_of_gas_in_ltr_side_a_inlet_kpa,0.9960514585641346
prs_of_gas_in_ltr_side_a_inlet_kpa,prs_of_gas_in_aph_outlet_kpa,0.9960514585641346
temp_of_gas_in_ltr_side_a_inl_adegc,furnace_bed_temp_7_9_sel_adegc,0.9960335483155873
furnace_bed_temp_7_9_sel_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,0.9960335483155873
te_of_gas_in_ecmz_side_b_outl_adegc,miain_steam_temperature_adegc,0.9960178216944191
miain_steam_temperature_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,0.9960178216944191
te_of_hot_pri_air_in_aph_outl_adegc,temperature_of_cyclone_c_inlet_adegc,0.996016832722973
temperature_of_cyclone_c_inlet_adegc,te_of_hot_pri_air_in_aph_outl_adegc,0.996016832722973
temp_of_gas_in_ltr_side_b_inl_adegc,hot_reheat_steam_temperature_1_adegc,0.9959802311639326
hot_reheat_steam_temperature_1_adegc,temp_of_gas_in_ltr_side_b_inl_adegc,0.9959802311639326
furnace_bed_temp_16_18_sel_adegc,temp_of_furnace_a_outl_adegc,0.9959701840262216
temp_of_furnace_a_outl_adegc,furnace_bed_temp_16_18_sel_adegc,0.9959701840262216
u_valve_c_inlet_static_prs_kpa,differential_prs_of_furnace_a_kpa,0.9957645845226317
differential_prs_of_furnace_a_kpa,u_valve_c_inlet_static_prs_kpa,0.9957645845226317
furnace_bed_temp_7_9_sel_adegc,furnace_bed_temp_16_18_sel_adegc,0.9957580156975776
