coluna,classe_sugerida
aph_main_motor_phase_u_current_nan,indefinido
aph_main_motor_phase_w_current_nan,indefinido
burner_perc_do_ar_total_,indefinido
deaerator_water_level_mm,indefinido
dev_of_current_a,indefinido
drum_level_sel_mm,indefinido
idf_a_volumetric_flow_rate_cal_m3_s,indefinido
idf_b_volumetric_flow_rate_cal_m3_s,indefinido
lower_perc_do_ar_total_,indefinido
main_steam_flow_sel_t_h,indefinido
mean_%_G001,indefinido
mean_a_G001,indefinido
mean_a_G002,indefinido
mean_knm3_h_G001,indefinido
mean_t_h_G001,indefinido
porcentagem_de_ar_primario_,indefinido
side_a_drum_level_sel_mm,indefinido
side_b_drum_level_sel_mm,indefinido
std_%_G001,indefinido
std_a_G001,indefinido
std_a_G002,indefinido
std_knm3_h_G001,indefinido
std_t_h_G001,indefinido
unit_actual_mw,indefinido
cur_of_hpa_fan_mtr_c_a,primaria_sugerida
cur_of_primary_air_fan_mtr_b_a,primaria_sugerida
cur_of_secondary_air_fan_mtr_a_a,primaria_sugerida
cur_of_secondary_air_fan_mtr_b_a,primaria_sugerida
esp_comb_with_ff_b_outl_prs_kpa,primaria_sugerida
flw_total_a_t_h,primaria_sugerida
flw_total_b_t_h,primaria_sugerida
flw_total_c_t_h,primaria_sugerida
id_fan_a_move_impeller_pos_fdb_,primaria_sugerida
id_fan_a_outlet_pressure_kpa,primaria_sugerida
id_fan_b_move_impeller_pos_fdb_,primaria_sugerida
id_fan_b_outlet_pressure_kpa,primaria_sugerida
lms_pdr_bin_flud_air_htr_ol_te_adegc,primaria_sugerida
pa_fan_a_fq_speed_feedback_rpm,primaria_sugerida
pa_fan_b_fq_speed_feedback_rpm,primaria_sugerida
pressure_1_of_furnace_b_bed_kpa,primaria_sugerida
pressure_of_sa_fan_a_outlet_kpa,primaria_sugerida
prs_hot_pri_air_in_aph_outl_kpa,primaria_sugerida
prs_of_hpfa_fan_a_outlet_head_kpa,primaria_sugerida
prs_of_hpfa_fan_b_outlet_head_kpa,primaria_sugerida
sa_fan_a_fq_speed_feedback_rpm,primaria_sugerida
sa_fan_b_fq_speed_feedback_rpm,primaria_sugerida
te_of_hpfa_fan_outl_head_pipe_adegc,primaria_sugerida
temp_of_hpfa_fan_a_outl_adegc,primaria_sugerida
temp_of_hpfa_fan_b_outl_adegc,primaria_sugerida
temp_of_hpfa_fan_c_outl_adegc,primaria_sugerida
1_lms_pdr_bin_continous_lvl_m,secundaria_sugerida
2_lms_pdr_bin_continous_lvl_m,secundaria_sugerida
deaerator_upstream_pressure_mpa,secundaria_sugerida
drum_pres_sel_mpa,secundaria_sugerida
dust_concentrat_raw_flue_gas_mg_m3,secundaria_sugerida
fsh_outl_hdr_pres_mpa_mi,secundaria_sugerida
fsh_outl_hdr_temp_adegc_min,secundaria_sugerida
furnace_pres_pa,secundaria_sugerida
hi_te_rh_ol_temp_adegc_min,secundaria_sugerida
hi_temperture_reheol_pres_mpa_mi,secundaria_sugerida
mean_adegc_G001,secundaria_sugerida
mean_adegc_G002,secundaria_sugerida
mean_kpa_G001,secundaria_sugerida
mean_kpa_G002,secundaria_sugerida
mean_kpa_G004,secundaria_sugerida
mean_mpa_G001,secundaria_sugerida
media_horaria_so2_apos_fgd_mg_nm3,secundaria_sugerida
pressure_1_of_furnace_a_upper_pa,secundaria_sugerida
pressure_1_of_furnace_b_upper_pa,secundaria_sugerida
pressure_of_furnace_a_lower_kpa,secundaria_sugerida
pressure_of_furnace_a_medium_pa,secundaria_sugerida
pressure_of_furnace_b_medium_pa,secundaria_sugerida
prs_of_condensate_pump_b_inlet_kpa,secundaria_sugerida
so2_con_clean_flue_gas_rectifi_mg_m3,secundaria_sugerida
so2_con_raw_flue_gas_rectified_mg_nm3,secundaria_sugerida
so2_concentration_raw_flue_gas_mg_m3,secundaria_sugerida
std_adegc_G001,secundaria_sugerida
std_adegc_G002,secundaria_sugerida
std_kpa_G001,secundaria_sugerida
std_kpa_G002,secundaria_sugerida
std_kpa_G004,secundaria_sugerida
std_mpa_G001,secundaria_sugerida
t_bfbp_b_inlet_temperature_adegc,secundaria_sugerida
temp_3_of_furnace_a_inner_adegc,secundaria_sugerida
