,cur_of_hpa_fan_mtr_a_a,cur_of_hpa_fan_mtr_b_a,cur_of_hpa_fan_mtr_c_a,cur_of_induced_draft_fan_mtr_a_a,cur_of_induced_draft_fan_mtr_b_a,cur_of_primary_air_fan_mtr_a_a,cur_of_primary_air_fan_mtr_b_a,cur_of_secondary_air_fan_mtr_a_a,cur_of_secondary_air_fan_mtr_b_a,dev_of_current_a
cur_of_hpa_fan_mtr_a_a,0.0,0.9227723952056364,0.31276466530815633,0.7563696483495495,0.7512141672497706,0.7506668047966184,0.20476367989629812,0.7452171993116627,0.688811135768434,0.011126836299515025
cur_of_hpa_fan_mtr_b_a,0.9227723952056364,0.0,0.22362679205777153,0.770036109365579,0.7539556608285533,0.7714345354573295,0.46676567549889086,0.7371083547623887,0.5534913305639431,0.03730296129108089
cur_of_hpa_fan_mtr_c_a,0.31276466530815633,0.22362679205777153,0.0,0.4451591245453673,0.4389439876911933,0.4809125615978852,0.2915629713393589,0.4271015321977128,0.67853309850747,0.034893939357080725
cur_of_induced_draft_fan_mtr_a_a,0.7563696483495495,0.770036109365579,0.4451591245453673,0.0,0.8978385869788389,0.9114852565981522,0.32234295231543486,0.8870631974097599,0.8091450832722781,0.16447455696083696
cur_of_induced_draft_fan_mtr_b_a,0.7512141672497706,0.7539556608285533,0.4389439876911933,0.8978385869788389,0.0,0.9046357103822835,0.3130430293240646,0.8753635712806749,0.7885728962817327,0.10666639379095288
cur_of_primary_air_fan_mtr_a_a,0.7506668047966184,0.7714345354573295,0.4809125615978852,0.9114852565981522,0.9046357103822835,0.0,0.3863088230661382,0.8191884001118689,0.7833613215723549,0.025539155354014638
cur_of_primary_air_fan_mtr_b_a,0.20476367989629812,0.46676567549889086,0.2915629713393589,0.32234295231543486,0.3130430293240646,0.3863088230661382,0.0,0.22428548191022435,0.19261800913159435,0.057268028570756316
cur_of_secondary_air_fan_mtr_a_a,0.7452171993116627,0.7371083547623887,0.4271015321977128,0.8870631974097599,0.8753635712806749,0.8191884001118689,0.22428548191022435,0.0,0.7842102323193998,0.034549863456576
cur_of_secondary_air_fan_mtr_b_a,0.688811135768434,0.5534913305639431,0.67853309850747,0.8091450832722781,0.7885728962817327,0.7833613215723549,0.19261800913159435,0.7842102323193998,0.0,0.02876026680034796
dev_of_current_a,0.011126836299515025,0.03730296129108089,0.034893939357080725,0.16447455696083696,0.10666639379095288,0.025539155354014638,0.057268028570756316,0.034549863456576,0.02876026680034796,0.0
