nome_curto,dimensao,exemplo_valor
cur_of_hpa_fan_mtr_a_a,A,36.25
cur_of_hpa_fan_mtr_b_a,A,36.216
cur_of_hpa_fan_mtr_c_a,A,0.07
cur_of_induced_draft_fan_mtr_a_a,A,174.271
cur_of_induced_draft_fan_mtr_b_a,A,159.317
cur_of_primary_air_fan_mtr_a_a,A,139.124
cur_of_primary_air_fan_mtr_b_a,A,140.222
cur_of_secondary_air_fan_mtr_a_a,A,15.54
cur_of_secondary_air_fan_mtr_b_a,A,16.821
dev_of_current_a,A,14.725
id_fan_a_move_impeller_pos_fdb_,A,28.024
idf_a_volumetric_flow_rate_cal_m3_s,A,208.64
side_a_drum_level_sel_mm,A,23.83
deaerator_pressure_mpa,MPa,0.248
deaerator_upstream_pressure_mpa,MPa,0.286
drum_pres_sel_mpa,MPa,9.83
fsh_outl_hdr_pres_mpa_mi,MPa,0.053
hot_reheat_steam_pressure_mpa,MPa,2.008
main_steam_pressure_mpa,MPa,8.905
prs_of_condensate_pump_a_outl_mpa,MPa,3.25
prs_of_condensate_pump_b_outl_mpa,MPa,-0.037
unit_actual_mw,MW,170.419
furnace_pres_pa,Pa,-157.573
pa_fan_a_fq_speed_feedback_rpm,Pa,1339.402
pa_fan_b_fq_speed_feedback_rpm,Pa,1330.394
pressure_1_of_furnace_a_upper_pa,Pa,-161.189
pressure_1_of_furnace_b_upper_pa,Pa,-150.843
pressure_of_furnace_a_medium_pa,Pa,164.357
pressure_of_furnace_b_medium_pa,Pa,194.523
1_lms_pdr_bin_continous_lvl_m,adimensional/nd,3.517
2_lms_pdr_bin_continous_lvl_m,adimensional/nd,4.019
aph_main_motor_phase_u_current_nan,adimensional/nd,15.371
aph_main_motor_phase_w_current_nan,adimensional/nd,15.805
burner_perc_do_ar_total_,adimensional/nd,3.8911
coal_perc_do_ar_total_,adimensional/nd,7.0216
deaerator_water_level_mm,adimensional/nd,796.087
drum_level_sel_mm,adimensional/nd,8.874
dust_concentrat_raw_flue_gas_mg_m3,adimensional/nd,15.81
id_fan_b_move_impeller_pos_fdb_,adimensional/nd,29.314
lower_perc_do_ar_total_,adimensional/nd,5.287
media_horaria_so2_apos_fgd_mg_nm3,adimensional/nd,3475.363
o2_avg_,adimensional/nd,3.541
porcentagem_de_ar_primario_,adimensional/nd,61.91
side_b_drum_level_sel_mm,adimensional/nd,-6.448
