nome_original,sugestao_nome_pt,fontes,exemplo_valor
air_primary_knm3_h,air_primary_knm3_h,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,754.37
air_primary_nm3_h,air_primary,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,754370.0
air_primary_press_z,air_primary_pressao_z,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,-0.7838001192706439
air_primary_share_pct,air_primary_share_pct,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,91.88798088108292
air_secondary_knm3_h,air_secondary_knm3_h,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,66.59699999999998
air_secondary_nm3_h,air_secondary,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,66596.99999999999
air_secondary_press_z,air_secondary_pressao_z,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,1.052091501488971
air_total_knm3_h,air_total_knm3_h,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,820.967
air_total_nm3_h,air_total,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,820967.0
baseline,baseline,outputs\physics_baseline_intersection.csv,Intersection_Longest
coal_flow_furnace_t_h,carvao_vazao_fornalha,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv;outputs\pedra\A1_SECONDARIES_FOR_PEDRA_MODEL.csv,42.538
coal_flow_total_ref_t_h,carvao_vazao_total_ref,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,3.296
