tau_zona,coluna
backpass,te_of_gas_in_ecmz_side_a_outl_adegc
backpass,te_of_gas_in_ecmz_side_b_outl_adegc
backpass,te_of_hot_pri_air_in_aph_outl_adegc
backpass,temp_of_gas_in_aph_outl_adegc
backpass,temp_of_gas_in_ltr_side_a_inl_adegc
backpass,temp_of_gas_in_ltr_side_a_outl_adegc
backpass,temp_of_gas_in_ltr_side_b_inl_adegc
backpass,temp_of_gas_in_ltr_side_b_outl_adegc
backpass,temperature_of_cyclone_a_inlet_adegc
backpass,temperature_of_cyclone_b_inlet_adegc
backpass,temperature_of_cyclone_c_inlet_adegc
densa,bed_temperature_average_adegc
densa,furnace_bed_temp_10_12_sel_adegc
densa,furnace_bed_temp_13_15_sel_adegc
densa,furnace_bed_temp_16_18_sel_adegc
densa,furnace_bed_temp_1_3_sel_adegc
densa,furnace_bed_temp_4_6_sel_adegc
densa,furnace_bed_temp_7_9_sel_adegc
densa,t_bfbp_b_inlet_temperature_adegc
diluida,temp_1_of_furnace_a_inner_adegc
diluida,temp_1_of_furnace_b_inner_adegc
diluida,temp_3_of_furnace_a_inner_adegc
diluida,temp_3_of_furnace_b_inner_adegc
diluida,temp_of_furnace_a_outl_adegc
diluida,temp_of_furnace_b_outl_adegc
